Metric_Code,Base Year,Value,Value type,Metric name
MLCON000001275,2005,8359442000,Absolute,Exports of goods and services - Constant
MLCON000001277,2005,8254855000,Absolute,Exports of goods and services - Constant
MLCON000001279,2005,8088905000,Absolute,Exports of goods and services - Constant
MLCON000001281,2005,7892307000,Absolute,Exports of goods and services - Constant
MLCON000001744,2005,3.25E+13,Absolute,Exports of goods and services - Constant
MLCON000001746,2005,3.06E+13,Absolute,Exports of goods and services - Constant
MLCON000001748,2005,2.94E+13,Absolute,Exports of goods and services - Constant
MLCON000001750,2005,2.75E+13,Absolute,Exports of goods and services - Constant
MLCON000001752,2005,2.65E+13,Absolute,Exports of goods and services - Constant
MLCON000001754,2005,2.47E+13,Absolute,Exports of goods and services - Constant
MLCON000001756,2005,2.26E+13,Absolute,Exports of goods and services - Constant
MLCON000001758,2005,2.17E+13,Absolute,Exports of goods and services - Constant
MLCON000001760,2005,2.21E+13,Absolute,Exports of goods and services - Constant
MLCON000001762,2005,2.07E+13,Absolute,Exports of goods and services - Constant
MLCON000001764,2005,1.87E+13,Absolute,Exports of goods and services - Constant
MLCON000001766,2005,2.09E+13,Absolute,Exports of goods and services - Constant
MLCON000001768,2005,1.96E+13,Absolute,Exports of goods and services - Constant
MLCON000001770,2005,1.69E+13,Absolute,Exports of goods and services - Constant
MLCON000001772,2005,1.41E+13,Absolute,Exports of goods and services - Constant
MLCON000001774,2005,1.25E+13,Absolute,Exports of goods and services - Constant
MLCON000001776,2005,1.06E+13,Absolute,Exports of goods and services - Constant
MLCON000001778,2005,9.99E+12,Absolute,Exports of goods and services - Constant
MLCON000001780,2005,9.45E+12,Absolute,Exports of goods and services - Constant
MLCON000001782,2005,8.68E+12,Absolute,Exports of goods and services - Constant
MLCON000001784,2005,6.94E+12,Absolute,Exports of goods and services - Constant
MLCON000001786,2005,6.21E+12,Absolute,Exports of goods and services - Constant
MLCON000001788,2005,5.38E+12,Absolute,Exports of goods and services - Constant
MLCON000001790,2005,4.38E+12,Absolute,Exports of goods and services - Constant
